Date,Price Index,Index Type
1/7/2010,197.8,Dairy
1/8/2010,192.9,Dairy
1/9/2010,198.4,Dairy
1/10/2010,202.6,Dairy
1/11/2010,207.8,Dairy
1/12/2010,208.4,Dairy
1/1/2011,221.3,Dairy
1/2/2011,230,Dairy
1/3/2011,234.4,Dairy
1/4/2011,228.7,Dairy
1/5/2011,231.1,Dairy
1/1/1990,106.5,Cereals
1/2/1990,104.2,Cereals
1/3/1990,102.6,Cereals
1/4/1990,105.5,Cereals
1/5/1990,105.4,Cereals
1/6/1990,103.1,Cereals
1/7/1990,97.1,Cereals
1/8/1990,93.3,Cereals
1/9/1990,87.7,Cereals
1/10/1990,88.8,Cereals
1/11/1990,88.1,Cereals
1/12/1990,88.8,Cereals
1/1/1991,90.3,Cereals
1/2/1991,92,Cereals
1/3/1991,94.9,Cereals
1/4/1991,96.4,Cereals
1/5/1991,95.3,Cereals
1/6/1991,94.4,Cereals
1/7/1991,93.5,Cereals
1/8/1991,97.8,Cereals
1/9/1991,98.7,Cereals
1/10/1991,102,Cereals
1/11/1991,102.3,Cereals
1/12/1991,105.5,Cereals
1/1/1992,107.7,Cereals
1/2/1992,111.1,Cereals
1/3/1992,110.8,Cereals
1/4/1992,105.7,Cereals
1/5/1992,104.5,Cereals
1/6/1992,103.7,Cereals
1/7/1992,98.9,Cereals
1/8/1992,94.2,Cereals
1/9/1992,97.7,Cereals
1/10/1992,97.6,Cereals
1/11/1992,98.8,Cereals
1/12/1992,97.6,Cereals
1/1/1993,98.7,Cereals
1/2/1993,97.4,Cereals
1/3/1993,97.2,Cereals
1/4/1993,96.4,Cereals
1/5/1993,93.3,Cereals
1/6/1993,88.8,Cereals
1/7/1993,94,Cereals
1/8/1993,95.5,Cereals
1/9/1993,98.4,Cereals
1/10/1993,104.1,Cereals
1/11/1993,113.2,Cereals
1/12/1993,116.5,Cereals
1/1/1994,115.9,Cereals
1/2/1994,113.3,Cereals
1/3/1994,108.6,Cereals
1/4/1994,105.7,Cereals
1/5/1994,104.3,Cereals
1/6/1994,101.6,Cereals
1/7/1994,94.5,Cereals
1/8/1994,96.6,Cereals
